 Name,Description,Price,Food?,Drink?,Cantidad,New Property,Food Trucks,Created,Updated
Ambientador perlas Lima Bosque Verde,"1 ud. | 1,45 €/ud",1.45,,,,"{'url':'7826dd52ede19889df76118321bc9c1d65998fc9ee92cc92147abd7657f88091.jpg','size':19641,'width':600,'height':600,'filename':'69995d0ff815bb2094c6a1b967c0a2b2.jpg'}",,2022-09-14T15:13:28.700Z,2022-09-14T15:13:28.700Z
Ambientador perlas Paradise Bosque Verde,"1 ud. | 1,45 €/ud",1.45,,,,"{'url':'c6249732385c7804d80cc879b0c8abc945487ab34c1e01042051f9069855905c.jpg','size':27287,'width':600,'height':600,'filename':'680584950d401fb4914cf59eff6da159.jpg'}",,2022-09-14T15:13:09.768Z,2022-09-14T15:13:09.768Z
Ambientador perlas Tiernos Recuerdos Bosque Verde,"1 ud. | 1,45 €/ud",1.45,,,,"{'url':'bbbe9f51d21dde368eaa316446a44b6c0dfe6f6c6964aea937cb9d43d46239e1.jpg','size':21855,'width':600,'height':600,'filename':'07b5976f4490185d805cf459840fa6e4.jpg'}",,2022-09-14T15:12:47.975Z,2022-09-14T15:12:47.975Z
Ambientador varitas Fruta Tropical Bosque Verde,"Caja 40 ml | 5,50 €/100 ml",2.2,,,,"{'url':'d41856aa5453f4f2c49dee8187462a922705c8a739c64dc0008fc3e34c028451.jpg','size':19417,'width':600,'height':600,'filename':'890f6bcae572d1f9767088a66fcd58d2.jpg'}",,2022-09-14T15:12:27.274Z,2022-09-14T15:12:27.274Z
Ambientador varitas Jasmine Bosque Verde,"Caja 40 ml | 5,50 €/100 ml",2.2,,,,"{'url':'03c85411fc8186c9e434b31a74983901a304d2126a3d04d980e4da5de3e3246e.jpg','size':13969,'width':600,'height':600,'filename':'3ee1f18c49f8bb0918b7e1d1bf9d2da8.jpg'}",,2022-09-14T15:12:06.186Z,2022-09-14T15:12:06.186Z
Ambientador varitas Bambú Bosque Verde,"Caja 40 ml | 5,50 €/100 ml",2.2,FALSE,FALSE,,"{'url':'0b45c0f7fe9826fae4931fed23691def705793c3fcb75d011d015d1e14787889.jpg','size':15936,'width':600,'height':600,'filename':'71f497ed49b21ef80d8a389dc208840f.jpg'}",,2022-09-14T15:07:29.215Z,2022-09-14T15:11:34.300Z
Ambientador varitas Frambuesa Bosque Verde,"Caja 40 ml | 5,50 €/100 ml",2.2,,,,"{'url':'0539f9f4137fb6b63be31988514c88d206d3dc1d99c723f7ba88d898eda01443.jpg','size':18424,'width':600,'height':600,'filename':'8db07d7a95a82786a1586c6e50167e4d.jpg'}",,2022-09-14T15:07:08.635Z,2022-09-14T15:07:08.635Z
Ambientador coche Lima Bosque Verde incluye difusor y 2 recambios,"Paquete 1 ud. | 23,125 €/100 ml",1.85,,,,"{'url':'f2034604d2d69804b3b4b1002b4708a10974ceda63fbfa716d4bc8d43ae4a565.jpg','size':19460,'width':600,'height':600,'filename':'52c42e11d0cf04baafd0d5a9e53fdf24.jpg'}",,2022-09-14T15:06:47.435Z,2022-09-14T15:06:47.435Z
Ambientador coche Happy Bosque Verde,"Caja 1 ud. | 30,834 €/100 ml",1.85,,,,"{'url':'057077daeaa5263ff1ce672a8d52b1b767ccb7ff4842c29a9cd7e1af735ed6c8.jpg','size':25589,'width':600,'height':600,'filename':'d7586de15959446caa2cb8efb6eac22f.jpg'}",,2022-09-14T15:06:26.155Z,2022-09-14T15:06:26.155Z
Ambientador coche Marine Bosque Verde incluye difusor y 2 recambios,"Paquete 1 ud. | 23,125 €/100 ml",1.85,,,,"{'url':'dd66e704f0f6d7c86d2b9b4f9c5c1cb58904bc48697bfe00c0f0dfbeaaf161e3.jpg','size':20591,'width':600,'height':600,'filename':'b470b56f565272913653ac326e95efed.jpg'}",,2022-09-14T15:06:03.806Z,2022-09-14T15:06:03.806Z
